PositionX,PositionY,PositionZ
0.5288202,1.277133,-0.1987884
0.5282786,1.277264,-0.1986191
0.5278216,1.277284,-0.1984542
0.5266416,1.277048,-0.1990617
0.5259622,1.276949,-0.1990411
0.5244263,1.277418,-0.1998551
0.5239477,1.27748,-0.199872
0.522952,1.277835,-0.1997966
0.5220107,1.278086,-0.1999084
0.5215114,1.278134,-0.1998312
0.5209692,1.278249,-0.199568
0.520447,1.278391,-0.1992811
0.5199785,1.278333,-0.1988973
0.5194716,1.278389,-0.198669
0.5189224,1.278517,-0.1984841
0.5185236,1.278598,-0.1982158
0.5186399,1.278562,-0.1976433
0.5188993,1.278587,-0.1972997
0.5184742,1.278728,-0.196886
0.5186409,1.278862,-0.1964729
0.5181638,1.278938,-0.1961503
0.5192925,1.278764,-0.1950044
0.5188333,1.278814,-0.1946743
0.5194737,1.278689,-0.1938961
0.5190424,1.278758,-0.1935142
0.5192541,1.278834,-0.1929311
0.5196387,1.278915,-0.1921098
0.5192197,1.278978,-0.1916755
0.5195372,1.278922,-0.1909266
0.5191611,1.279078,-0.1904497
0.5206562,1.278998,-0.1890916
0.5202865,1.27911,-0.1887901
0.5205044,1.279136,-0.1881485
0.5201652,1.279247,-0.1878339
0.5205586,1.27937,-0.1870244
0.5202718,1.279552,-0.186633
0.5215173,1.279548,-0.185534
0.5212052,1.279677,-0.1851289
0.5209183,1.279801,-0.184808
0.5219678,1.279625,-0.1838927
0.5216796,1.279652,-0.1836969
0.5218114,1.27964,-0.1832015
0.5215315,1.279757,-0.1829691
0.5205263,1.279855,-0.1828821
0.5205707,1.279956,-0.182461
0.5205707,1.279956,-0.182461
0.5202626,1.280185,-0.1821708
0.5199401,1.280236,-0.1821095
0.5198383,1.280292,-0.1817615
0.5194727,1.280352,-0.1815565
0.5190217,1.280431,-0.1813351
0.5186027,1.280605,-0.1810872
0.519799,1.28091,-0.1805022
0.5194349,1.28113,-0.1804642
0.5200355,1.281155,-0.1801041
0.5196754,1.281279,-0.1800321
0.519364,1.281454,-0.1801862
0.5203139,1.28148,-0.1796613
0.519937,1.281644,-0.179409
0.5197029,1.281816,-0.1794499
0.5192963,1.281969,-0.1792516
0.5197664,1.281972,-0.1786441
0.5193121,1.281987,-0.1785509
0.5201223,1.282044,-0.1778821
0.5198005,1.282132,-0.1777181
0.5194486,1.282191,-0.1775885
0.5190452,1.28216,-0.177104
0.5186261,1.282145,-0.1769575
0.5185664,1.282008,-0.1766791
0.5181262,1.282008,-0.1765195
0.5188175,1.282122,-0.1759464
0.5184901,1.28222,-0.175882
0.5182911,1.282265,-0.1759113
0.5189288,1.282208,-0.1754314
0.518575,1.28223,-0.1753294
0.5189645,1.282219,-0.1747979
0.5185791,1.282298,-0.1747147
0.5184075,1.282477,-0.1746942
0.5180292,1.282634,-0.1747136
0.5192081,1.282624,-0.173929
0.5191027,1.28261,-0.1736212
0.5186988,1.282585,-0.1735153
0.5186353,1.282558,-0.1731857
0.5182519,1.282596,-0.1730482
0.5187508,1.282622,-0.17262
0.5183486,1.282705,-0.1727267
0.5184583,1.282692,-0.1725296
0.5186634,1.282616,-0.1721367
0.5182982,1.28261,-0.1721738
0.5177912,1.282665,-0.1722695
0.5174724,1.282715,-0.1722005
0.5174142,1.282698,-0.172117
0.5170552,1.282751,-0.1722377
0.5168396,1.282754,-0.1721884
0.5165157,1.282799,-0.1722252
0.5157356,1.282831,-0.1726798
0.5151345,1.282778,-0.1730131
0.5152912,1.282623,-0.1729835
0.5160995,1.282471,-0.1724573
0.5159074,1.282404,-0.1722923
0.5162947,1.282274,-0.1719503
0.5158091,1.281988,-0.1719364
0.5163525,1.281609,-0.1713127
0.5158269,1.281085,-0.1709651
0.5158644,1.280514,-0.1704497
0.5154203,1.279984,-0.1703347
0.5149537,1.279456,-0.1701971
0.5144955,1.278962,-0.1699454
0.5140868,1.278448,-0.1696999
0.5149252,1.277617,-0.1687634
0.5143657,1.276772,-0.1681831
0.5150016,1.275879,-0.1669701
0.5143698,1.274815,-0.1660653
0.515504,1.273617,-0.1644626
0.5152636,1.272665,-0.1633398
0.5146645,1.271706,-0.162627
0.5152151,1.270688,-0.1611838
0.5145354,1.269656,-0.1601403
0.5139446,1.268732,-0.1587984
0.5131814,1.267466,-0.1573296
0.5128803,1.266037,-0.1555049
0.5120041,1.264624,-0.1536902
0.5120804,1.263227,-0.1515218
0.5112237,1.262019,-0.1496488
0.5109606,1.260804,-0.147571
0.5104206,1.259632,-0.1454878
0.5094489,1.258309,-0.1435338
0.5073836,1.256985,-0.1418971
0.5361874,1.252089,-0.1245906
0.5353634,1.250784,-0.1217572
0.534474,1.249698,-0.1185286
0.5336119,1.24871,-0.1154688
0.5321811,1.247761,-0.1126616
0.5309359,1.247128,-0.1092245
0.5297732,1.246252,-0.1059041
0.5282903,1.245499,-0.1026071
0.5271515,1.245003,-0.09889143
0.525861,1.244568,-0.09507051
0.5246495,1.244225,-0.0911186
0.5232676,1.244147,-0.08700715
0.5220032,1.244033,-0.08280919
0.5207133,1.243821,-0.0788451
0.519597,1.24396,-0.0748602
0.5179583,1.244427,-0.07011449
0.5166385,1.244596,-0.0657961
0.5149606,1.245427,-0.06115985
0.5135169,1.24604,-0.05667462
0.5118809,1.247036,-0.0518658
0.5101882,1.247881,-0.04698807
0.5086968,1.249121,-0.04209989
0.5073271,1.250293,-0.03688262
0.5057917,1.251785,-0.03179538
0.5044783,1.253554,-0.02691093
0.502853,1.255311,-0.02177706
0.5017484,1.256966,-0.01682705
0.5002693,1.258672,-0.01193513
0.4986134,1.260825,-0.006585523
0.4971647,1.262904,-0.00092683
0.495427,1.265308,0.004589878
0.4937134,1.267769,0.01020004
0.4919593,1.270258,0.01574633
0.4905843,1.272566,0.02124847
0.4888123,1.275153,0.02700104
0.4873354,1.27782,0.03237791
0.4857185,1.280344,0.03745349
0.4845313,1.283297,0.04299058
0.4833671,1.286348,0.04856075
0.4819955,1.28936,0.05397148
0.4805949,1.292373,0.05929927
0.4791888,1.295479,0.06473536
0.4774018,1.298282,0.07034924
0.4755247,1.301415,0.07576188
0.4739068,1.304526,0.08138309
0.4739068,1.304526,0.08138309
0.4718424,1.312444,0.09272586
0.4695454,1.320192,0.1035146
0.4681432,1.324166,0.1089251
0.4681432,1.324166,0.1089251
0.4668635,1.327919,0.114198
0.465349,1.331403,0.1190918
0.4622738,1.338664,0.1296967
0.4622738,1.338664,0.1296967
0.4599431,1.34645,0.1397467
0.4589792,1.350579,0.1445262
0.4582976,1.354924,0.1492677
0.4582976,1.354924,0.1492677
0.4573522,1.359191,0.1543254
0.4568289,1.364071,0.159011
0.4557376,1.373478,0.1677889
0.4557376,1.373478,0.1677889
0.4544083,1.382483,0.1761926
0.4536788,1.386864,0.179935
0.4536788,1.386864,0.179935
0.4525766,1.391323,0.1839899
0.4520026,1.395667,0.187757
0.4513544,1.400272,0.1912593
0.451011,1.404828,0.1948793
0.4506629,1.414003,0.2013043
0.4505047,1.418373,0.2042064
0.4505047,1.418373,0.2042064
0.4500433,1.422832,0.207273
0.4493479,1.43099,0.2134744
0.4495932,1.434559,0.2160819
0.4495932,1.434559,0.2160819
0.4490395,1.438247,0.2186158
0.4443538,1.443195,0.2223358
0.4445336,1.450686,0.2265082
0.4445336,1.450686,0.2265082
0.4443349,1.454477,0.2288136
0.4441915,1.457989,0.2305462
0.4438064,1.461604,0.2328176
0.4435709,1.464742,0.2344649
0.4429876,1.467966,0.2366706
0.4427571,1.470526,0.2381542
0.4428361,1.473087,0.2398008
0.442632,1.47533,0.2414373
0.442385,1.477312,0.2428586
0.442382,1.479262,0.244295
0.4422168,1.481333,0.2460105
0.4415968,1.482946,0.2475712
0.4413172,1.484098,0.2489998
0.4412194,1.485077,0.2507539
0.4413157,1.485465,0.2520723
0.4414411,1.485603,0.2530055
0.4415201,1.485615,0.2542252
0.4415448,1.485818,0.2553063
0.4414437,1.485412,0.2567306
0.4417629,1.484621,0.2575915
0.4420018,1.484042,0.2587252
0.4423435,1.483196,0.2593918
0.4420992,1.482669,0.2601304
0.4424558,1.48204,0.2608546
0.4428044,1.481301,0.2613844
0.4432463,1.480641,0.2615629
0.4436918,1.479831,0.2618358
0.4441537,1.478646,0.2619702
0.4443454,1.477196,0.2620183
0.4447831,1.475973,0.262261
0.4449098,1.474477,0.2623973
0.4453519,1.473121,0.2625906
0.4454603,1.471376,0.2627378
0.4456602,1.470156,0.263094
0.4458586,1.468744,0.2631946
0.4461977,1.467535,0.2632991
0.4466359,1.466904,0.2633572
0.4466359,1.466904,0.2633572
0.4475092,1.465505,0.2633713
0.4482761,1.464224,0.2632534
0.4483716,1.463632,0.2636832
0.4484436,1.463278,0.2639067
0.4488237,1.462886,0.2638191
0.4492351,1.462649,0.263864
0.4496033,1.462513,0.2638933
0.4498276,1.462216,0.2640064
0.4501503,1.462314,0.2638823
0.4503661,1.462011,0.2638457
0.4504413,1.461975,0.2638531
0.4507343,1.461956,0.2638011
0.4507488,1.461923,0.2639923
0.4510711,1.461992,0.2640398
0.4513822,1.461899,0.2639179
0.4513822,1.461899,0.2639179
0.4515741,1.461888,0.2638105
0.4514813,1.461953,0.2639576
0.4515862,1.462023,0.263937
