PositionX,PositionY,PositionZ
0.4557991,1.247575,-0.2216594
0.4566207,1.246041,-0.2146414
0.4576079,1.24463,-0.2096943
0.4586148,1.243192,-0.2047212
0.459633,1.241741,-0.1997643
0.4648484,1.247521,-0.1856788
0.4663849,1.247645,-0.1767607
0.4688718,1.249408,-0.1680967
0.4741091,1.250887,-0.1546239
0.4723188,1.246799,-0.1489604
0.4738311,1.247344,-0.1379728
0.4756296,1.248083,-0.1270558
0.4776645,1.249384,-0.1165833
0.4794007,1.250841,-0.1062172
0.4809933,1.25223,-0.09546585
0.4822212,1.253906,-0.08456603
0.4830705,1.255798,-0.07343939
0.4840072,1.258033,-0.06272455
0.4849826,1.260306,-0.05210733
0.4856979,1.262942,-0.04146717
0.4856049,1.265738,-0.03055519
0.4857528,1.268633,-0.0201123
0.4853423,1.271911,-0.009419188
0.4848403,1.275273,0.000590183
0.4844527,1.278991,0.01028393
0.4834694,1.282619,0.02026585
0.482739,1.286079,0.02950302
0.4819841,1.290007,0.03898495
0.4812566,1.293939,0.04773188
0.4803846,1.298565,0.05632898
0.4794763,1.303217,0.06464011
0.4784883,1.307725,0.07310233
0.4769314,1.312335,0.08164582
0.4752164,1.317393,0.09015062
0.4734511,1.32249,0.0979236
0.4734511,1.32249,0.0979236
0.4704469,1.332988,0.1135754
0.4690917,1.338833,0.1207233
0.4678259,1.344729,0.1276562
0.4656748,1.350288,0.1347486
0.4630691,1.355773,0.1421504
0.4606225,1.361533,0.1492111
0.4578938,1.367223,0.1560791
0.455074,1.373757,0.1625459
0.452234,1.380353,0.1689765
0.4490669,1.387165,0.1750338
0.4454935,1.394127,0.1810265
0.4412701,1.400677,0.1870519
0.436849,1.407225,0.1930416
0.4326858,1.413916,0.198951
0.4272695,1.420676,0.2047777
0.4222982,1.42727,0.210129
0.4174302,1.434114,0.2152529
0.4125883,1.440657,0.2203111
0.4075787,1.447457,0.2249717
0.4028286,1.454129,0.2294139
0.3974708,1.461395,0.2330137
0.3924266,1.468625,0.2370612
