PositionX,PositionY,PositionZ
0.4557991,1.247575,-0.2216594
0.4562099,1.246808,-0.2181504
0.4566759,1.246082,-0.2153317
0.457160625,1.2453595,-0.212679075
0.4576551,1.2446358,-0.21009612
0.458853983,1.245116667,-0.206026567
0.459929829,1.245477857,-0.201845729
0.461047575,1.245969125,-0.1976271
0.462498856,1.246515556,-0.192848967
0.46348085,1.2465439,-0.18846011
0.46528405,1.2465208,-0.18009145
0.46718494,1.246725,-0.17133289
0.4691906,1.2472004,-0.16202179
0.47126919,1.2479653,-0.15217139
0.47340522,1.2490142,-0.141741545
0.4751425,1.2496527,-0.131630268
0.47681106,1.250468,-0.121298137
0.4783246,1.2513305,-0.110760922
0.47941195,1.2522724,-0.100509265
0.48074986,1.2538867,-0.089759942
0.48192724,1.2557261,-0.079018181
0.48293956,1.2577811,-0.068323831
0.48370734,1.2600338,-0.05760742
0.4842513,1.262477,-0.046926682
0.48459724,1.2651531,-0.036351704
0.48472206,1.2680244,-0.025868516
0.48468891,1.2710525,-0.015574275
0.4844866,1.2742499,-0.005403325
0.484114,1.2776132,0.004580597
0.48358267,1.2811755,0.014360212
0.48296981,1.2849234,0.023879742
0.48224336,1.2888326,0.033201205
0.48140227,1.292875,0.042307705
0.48043988,1.297087,0.051263749
0.47933972,1.3014369,0.060027716
0.47833789,1.305424,0.067793491
0.47710868,1.3101149,0.076200729
0.47581944,1.3149975,0.084374564
0.47447637,1.3200765,0.092366996
0.47300539,1.3252488,0.100208958
0.47136467,1.3305044,0.107959987
0.46957809,1.3358852,0.115570864
0.46767433,1.341374,0.123014192
0.46566009,1.3470104,0.13025372
0.46353838,1.3527967,0.13735901
0.46109996,1.3592642,0.14507003
0.45860462,1.3653781,0.15181514
0.45582246,1.3715625,0.158448
0.45272477,1.3778121,0.16498654
0.44942587,1.3841749,0.17140678
0.44584591,1.3906652,0.17766951
0.44201348,1.3972389,0.1837613
0.43796712,1.403928,0.18967868
0.43371855,1.410618,0.1954552
0.42925302,1.4173284,0.20105472
0.42462919,1.4240248,0.20649273
0.41982692,1.4307516,0.21169145
0.41494257,1.4375464,0.21669238
0.40994709,1.4443793,0.22144911
0.40480023,1.4511879,0.22591514
0.39968299,1.4579728,0.23013772
0.3945649,1.464753,0.23411773
0.38947088,1.4714878,0.23783092
0.38445999,1.4782252,0.24128957
0.37957174,1.4849575,0.2444582
0.37476396,1.4915978,0.24734889
0.3701531,1.4980185,0.25003296
0.36565918,1.5042579,0.25248719
0.36142805,1.5102702,0.25469287
0.35742456,1.5161795,0.25677961
0.35378313,1.5219095,0.25855216
0.35043583,1.527519,0.26010489
0.34740794,1.5329261,0.26141043
0.34454047,1.5380374,0.26250251
0.341868,1.5428014,0.26341713
0.33933485,1.5471887,0.26413037
0.33698483,1.5513319,0.26466813
0.33488847,1.5551197,0.26501489
0.33302659,1.5586432,0.2651998
0.3315213,1.5617546,0.26513554
0.33032374,1.5644556,0.26494258
0.32948143,1.5666228,0.26453773
0.32895203,1.5682897,0.26398959
0.32884138,1.5694696,0.2632685
0.32910722,1.5701754,0.26243994
0.32988964,1.570355,0.26151648
0.33109729,1.5699858,0.26051593
0.33281926,1.5688974,0.25948152
0.33496886,1.5670948,0.25844793
0.33710193,1.5651625,0.25748221
0.33979253,1.5621174,0.25658221
0.34280766,1.5583547,0.25582382
0.34617623,1.5536963,0.25529853
0.34979411,1.5483366,0.25498636
0.35367442,1.5421101,0.254927
0.3577004,1.5351051,0.25517436
0.36184513,1.5273232,0.25573032
0.3659761,1.5188125,0.25663431
0.37013456,1.5094742,0.25792034
0.37457401,1.498796,0.25957565
0.37855495,1.4877664,0.26161996
0.38226286,1.4760206,0.26404976
0.38569968,1.4638912,0.26676014
0.38884626,1.4511157,0.2697946
0.39166759,1.4378609,0.27310185
0.39427915,1.4241045,0.27663453
0.39662555,1.4098766,0.28035994
0.39870964,1.3952095,0.28419739
0.40032211,1.3801504,0.28810063
0.40155646,1.3646776,0.29200308
0.40243301,1.3488767,0.295973
0.40259801,1.3327579,0.29983519
0.402236,1.3162661,0.30368938
0.40121067,1.2995965,0.30738905
0.39969296,1.2827421,0.31100143
0.39732299,1.2658701,0.31438101
0.39436823,1.2488357,0.31758403
0.39079336,1.2318658,0.32053565
0.38663153,1.215088,0.32310576
0.38199138,1.1985176,0.32544673
0.37674009,1.1822851,0.32734098
0.37126543,1.1665131,0.32896469
0.36534121,1.1511487,0.33024434
0.35907645,1.1362366,0.3311834
0.35244458,1.1217205,0.33178149
0.34570662,1.107691,0.33208534
0.3387664,1.0941854,0.33209846
0.33164835,1.0812986,0.33180674
0.32451816,1.0691066,0.33132057
0.31721186,1.0575826,0.33053909
0.30991383,1.0466059,0.32968638
0.30264967,1.03615363,0.32866003
0.29543589,1.0263325,0.32748586
0.28843288,1.0169633,0.32625622
0.28155626,1.00823339,0.32487788
0.27479698,1.00002895,0.32346999
0.26806378,0.9923908,0.32194869
0.26143742,0.98528161,0.32039593
0.25493901,0.97857705,0.31876181
0.24860489,0.97236547,0.31717635
0.2424479,0.9666613,0.31551824
0.23645865,0.96141588,0.31395994
0.23061993,0.95650846,0.31238608
0.22490897,0.95206984,0.31089166
0.21923482,0.94795744,0.30944606
0.21363052,0.94420253,0.30809632
0.20806259,0.94084768,0.30684413
0.20259314,0.93781753,0.30570498
0.19726978,0.93511793,0.30488411
0.1921735,0.93271927,0.3042074
0.18721122,0.93055303,0.30374575
0.18277935,0.92869441,0.30334825
0.1785201,0.92716429,0.30318923
0.17357784,0.92609359,0.30331616
0.16879661,0.92542492,0.30368311
0.16458928,0.92501209,0.30410864
0.16033065,0.92512107,0.30502635
0.15630171,0.92568472,0.30631674
0.15235771,0.92657235,0.30786572
0.14851527,0.92782068,0.30967221
0.14484326,0.92944705,0.31179361
0.14089158,0.93135196,0.31415754
0.13706819,0.9336793,0.31677424
0.13417707,0.93618858,0.31951101
0.13138196,0.93911147,0.32249738
0.12858685,0.94203436,0.32548375
0.12592304,0.94570097,0.3289238
