PositionX,PositionY,PositionZ
0.4557991,1.247575,-0.2216594
0.4562099,1.246808,-0.2181504
0.4566759,1.246082,-0.2153317
0.457160625,1.2453595,-0.212679075
0.4576551,1.2446358,-0.21009612
0.45946496,1.244625,-0.2029
0.4614178,1.2449458,-0.19532386
0.46367058,1.2459014,-0.18700434
0.46676944,1.2474404,-0.17698488
0.4693066,1.248452,-0.1668241
0.47110314,1.2484166,-0.1572829
0.47295208,1.2485042,-0.14734192
0.47471062,1.2484994,-0.13703924
0.47576894,1.2484902,-0.1273579
0.47750384,1.2495764,-0.11665899
0.47918186,1.2508888,-0.105977636
0.48067004,1.2524318,-0.095254354
0.48193858,1.2541616,-0.084482604
0.48305496,1.2560546,-0.07366063
0.48399588,1.258197,-0.062860894
0.48467262,1.2605634,-0.052058726
0.48520908,1.2631304,-0.041393308
0.4854761,1.265906,-0.030732236
0.48544764,1.2688994,-0.020192733
0.4851986,1.2721092,-0.009842513
0.4847715,1.2754854,0.000321695
0.48416874,1.2789746,0.010244759
0.4834971,1.2825938,0.019925587
0.48278036,1.286327,0.029353926
0.48196674,1.2902418,0.038562936
0.48116812,1.2943614,0.047437788
0.48031798,1.2986906,0.05615765
0.47930744,1.3031562,0.064689824
0.4780994,1.307847,0.073173572
0.4767127,1.312632,0.081492496
0.47550766,1.3164866,0.088149194
0.47389938,1.3215392,0.096243808
0.47233144,1.3268388,0.104059304
0.47085334,1.332306,0.11156042
0.46929808,1.3378656,0.11892542
0.46722168,1.3445222,0.12777078
0.4652568,1.3502312,0.13489792
0.46301722,1.3559092,0.14196908
0.46046684,1.3617148,0.14894702
0.45777868,1.3677278,0.1557926
0.45497824,1.3740062,0.16236928
0.45195244,1.380525,0.16873236
0.4486277,1.3872158,0.17492692
0.4449827,1.3939094,0.18102606
0.44107306,1.400622,0.18702096
0.43671358,1.4073242,0.19296974
0.43207452,1.4139528,0.19879024
0.42730654,1.4206402,0.20443044
0.4224544,1.4273266,0.20988434
0.41743298,1.4340348,0.21508848
0.4125448,1.4407254,0.22001572
0.40757932,1.4475504,0.22459266
0.4025786,1.4544526,0.22895432
0.39743978,1.461432,0.23301388
0.39216748,1.468341,0.2367418
0.38682118,1.4752202,0.24025972
0.38155048,1.4819556,0.2436428
0.37636316,1.488523,0.24670752
0.3714802,1.4950184,0.24956526
0.366976,1.501574,0.2521746
0.36270674,1.5079754,0.25443806
0.35875572,1.5140814,0.25642312
0.3549552,1.5199928,0.25826686
0.3513759,1.525522,0.25982048
0.34787312,1.530785,0.26138462
0.34485952,1.5358436,0.26266626
0.34211594,1.5409566,0.26378666
0.33986068,1.5458594,0.264554
0.33770504,1.5505528,0.26518454
0.33586288,1.5548178,0.26544964
0.33381018,1.5585338,0.26559448
0.33185372,1.5617072,0.2655496
0.32991626,1.56438,0.26547578
0.32834814,1.5667336,0.26521506
0.32717972,1.5686914,0.26482144
0.3268373,1.5703774,0.26429068
0.32710914,1.5715384,0.26352586
0.3279878,1.5721994,0.2625034
0.32933462,1.5722056,0.26132194
0.33103472,1.5716594,0.26005844
0.33294198,1.5703326,0.25874228
0.33508544,1.5684332,0.257506
0.33765072,1.5655954,0.25645964
0.3406031,1.561984,0.25557392
0.34316914,1.5586656,0.25490598
0.34664308,1.5539022,0.25442214
0.35052988,1.5482762,0.25414164
0.35470174,1.5417972,0.25413742
0.35898512,1.5346892,0.2543988
0.3641797,1.5255546,0.25494802
0.36875772,1.516308,0.25592658
0.37316038,1.5063702,0.257319
0.37725046,1.4958278,0.2591312
0.381284,1.4842592,0.26144188
0.38496832,1.4720374,0.26420328
0.38835218,1.4592248,0.26731334
0.39136534,1.445671,0.27078052
0.3941489,1.4319546,0.27438908
0.39640852,1.4179722,0.27814732
0.39836686,1.4036844,0.28200042
0.40020612,1.3889842,0.28595572
0.40188576,1.3740822,0.28993936
0.40327038,1.3584644,0.2940057
0.4042357,1.3423286,0.29805394
0.40474606,1.3256708,0.30200574
0.4046599,1.3087692,0.30599028
0.40331026,1.2914336,0.30973102
0.40120162,1.2740678,0.31337306
0.39818564,1.2568644,0.31672416
0.39463986,1.2398134,0.31999712
0.38998608,1.222971,0.32277174
0.3854262,1.2062378,0.32543704
0.3803851,1.1896638,0.32769824
0.37507742,1.1733116,0.32948736
0.3693429,1.1572218,0.33089634
0.3634941,1.1415992,0.33191022
0.35710466,1.1267884,0.33249234
0.35029732,1.1126336,0.33279044
0.34307548,1.0991616,0.33287944
0.33554626,1.0862192,0.33266664
0.32791914,1.0737828,0.33226046
0.32042814,1.0615824,0.33170458
0.31299938,1.0499636,0.33082304
0.30596084,1.0390516,0.3297617
0.29887746,1.028946,0.32841154
0.29190852,1.019429,0.3271123
0.2848712,1.01072486,0.32561548
0.2778724,1.0027014,0.32414868
0.27090492,0.994875,0.32275074
0.26423506,0.98752078,0.32134422
0.25768544,0.9806289,0.31982768
0.25125636,0.97405674,0.3182819
0.24500244,0.96786182,0.31664318
0.2389731,0.9622791,0.31477288
0.23297472,0.95721016,0.31300848
0.22721036,0.9526937,0.3112088
0.22166094,0.94877502,0.30963798
0.21623742,0.9451551,0.30812898
0.21084484,0.94186058,0.30701044
0.20549492,0.93870472,0.30588364
0.20005068,0.93571136,0.30498384
0.19446424,0.93292034,0.30405028
0.18894886,0.93047996,0.30328098
0.18369472,0.92837528,0.30275778
0.17885208,0.92673382,0.30253116
0.17437176,0.9253947,0.30250766
0.17109446,0.92446848,0.30264622
0.16809134,0.92384862,0.30309748
0.16346096,0.9238119,0.30387454
0.15874114,0.92411602,0.30483506
0.1548068,0.92462948,0.30570962
0.14956684,0.92577366,0.30740648
0.14451208,0.92752082,0.309536
0.14125446,0.9293328,0.3118569
0.1382894,0.93152534,0.31450936
0.13487972,0.93426462,0.3178776
0.13221632,0.93693026,0.3209086
0.1296243,0.93983778,0.32401248
0.12709968,0.94304436,0.32716512
0.12447452,0.9466976,0.3304854
0.12229398,0.9498041,0.3330899
0.11962976,0.95447168,0.336939
0.11696638,0.95947698,0.34112982
