X,Y,Z
0.4434427,1.266256,-0.2033537
0.4435361,1.264143,-0.2018287
0.4442337,1.261295,-0.1994797
0.4448904,1.258512,-0.1971133
0.4452807,1.255975,-0.1944047
0.445736,1.253266,-0.1912505
0.4460567,1.250571,-0.1877972
0.4468305,1.247861,-0.1840716
0.447863,1.244906,-0.1801008
0.448779,1.24198,-0.1756476
0.4501546,1.239169,-0.1710703
0.4509727,1.23647,-0.1663376
0.4519529,1.234099,-0.1611241
0.4526552,1.232122,-0.1554296
0.4537278,1.230251,-0.1496135
0.4538537,1.227892,-0.1444938
0.4549502,1.22626,-0.1381989
0.4562094,1.224924,-0.1318414
0.4525974,1.224199,-0.1275849
0.4537014,1.222812,-0.1204972
0.454482,1.221511,-0.1134105
0.4551885,1.221137,-0.1057603
0.4557714,1.221348,-0.09796216
0.4566416,1.221438,-0.09043718
0.4575299,1.221504,-0.08269083
0.4584866,1.222511,-0.07502341
0.4594749,1.22363,-0.06731695
0.4602903,1.225196,-0.0593558
0.4609141,1.226548,-0.05075103
0.4616388,1.22842,-0.0424761
0.4621273,1.231418,-0.03393805
0.4627807,1.234067,-0.02540664
0.4633013,1.237353,-0.0170494
0.4640666,1.240863,-0.00877285
0.4652061,1.244507,-0.000557467
0.4659489,1.248621,0.007393114
0.4667909,1.253399,0.01537018
0.4675311,1.257998,0.02328524
0.4682718,1.263819,0.03116937
0.468837,1.27007,0.03875861
0.4695922,1.27671,0.04642412
0.470271,1.28289,0.05397967
0.4712215,1.289973,0.06075509
0.4722251,1.296703,0.06774157
0.4730436,1.304355,0.07451881
0.4739204,1.312334,0.08134872
0.4748422,1.321034,0.08772364
0.4759081,1.32944,0.09368236
0.4768254,1.337947,0.09955232
0.477668,1.34676,0.1052025
0.4784099,1.355507,0.1110121
0.479255,1.364822,0.116094
0.4800272,1.373793,0.1214593
0.4807132,1.3833,0.125786
0.4812467,1.392549,0.1306535
0.4815479,1.402061,0.1352578
0.4840041,1.411118,0.1386769
0.4841723,1.420601,0.14315
0.4841495,1.430053,0.1465482
0.4840018,1.439367,0.1506402
0.4835911,1.448959,0.1540982
0.4831021,1.458009,0.1574713
0.4821788,1.467317,0.1608173
0.4811656,1.475979,0.1637427
0.4803648,1.484692,0.1668866
0.4790208,1.493808,0.1692905
0.4778078,1.502466,0.1721821
0.4759417,1.510451,0.1741028
0.4743102,1.518426,0.176544
0.4721975,1.525979,0.1787807
0.470309,1.533419,0.1804436
0.4686605,1.540395,0.1819787
0.4670122,1.547508,0.1834718
0.4653941,1.554292,0.1845378
0.4639032,1.560755,0.1851575
0.4624775,1.566765,0.1856516
0.4587777,1.578589,0.1867082
0.4587777,1.578589,0.1867082
0.4567142,1.583745,0.1871215
0.4547419,1.588801,0.1872102
0.4527984,1.593933,0.1874265
0.4511877,1.598082,0.1871955
0.4496174,1.601435,0.1870208
0.4479033,1.604704,0.1866027
0.4449329,1.610665,0.1855419
0.4438698,1.61271,0.1846892
0.4438698,1.61271,0.1846892
0.4431874,1.614233,0.1834983
0.4424988,1.616445,0.1806861
0.4424988,1.616445,0.1806861
0.4417955,1.617984,0.1778838
0.4417955,1.617984,0.1778838
0.4417416,1.618019,0.1761615
0.4418693,1.617542,0.174508
0.4423399,1.616624,0.1731386
0.4429472,1.61558,0.1717965
0.4438458,1.613633,0.1701072
