X,Y,Z
0.4434427,1.266256,-0.2033537
0.4434894,1.2651995,-0.2025912
0.4437375,1.263898,-0.201554033
0.444025725,1.2625515,-0.20044385
0.44427672,1.2612362,-0.19923602
0.444519933,1.259907833,-0.1979051
0.444739471,1.258574,-0.196461114
0.44500085,1.257234875,-0.194912425
0.445318867,1.255865,-0.193266689
0.44566488,1.2544765,-0.19150478
0.44633607,1.2517678,-0.18827644
0.44707973,1.2490005,-0.18472733
0.44785165,1.2462809,-0.18089177
0.44862813,1.2436419,-0.1767234
0.44947284,1.2410695,-0.17224428
0.45028461,1.2385321,-0.16756861
0.45117396,1.236101,-0.16260878
0.45211185,1.2338073,-0.15738576
0.45258529,1.2317366,-0.15213417
0.45307753,1.2298198,-0.14661913
0.45351027,1.228054,-0.14085315
0.45393185,1.2265207,-0.13479542
0.4543137,1.2252456,-0.128479226
0.45471234,1.2241772,-0.121979984
0.45509255,1.2233025,-0.115287717
0.45555584,1.2227644,-0.108340678
0.45600831,1.2225014,-0.101252483
0.4564164,1.2225286,-0.094003923
0.45724807,1.2227635,-0.086320536
0.45804181,1.2233243,-0.078518426
0.45880634,1.224315,-0.070571181
0.45956556,1.225608,-0.062535815
0.46031855,1.2272085,-0.054444539
0.46106105,1.229151,-0.046278106
0.46182867,1.2314513,-0.03806477
0.4625749,1.2340623,-0.029823117
0.4633065,1.2370392,-0.021554404
0.46403058,1.2403194,-0.0132903
0.46476635,1.2440465,-0.00509826
0.46548617,1.2482115,0.003025211
0.46623266,1.2527407,0.011061428
0.46698169,1.257623,0.019000059
0.46777371,1.262885,0.026780508
0.46858956,1.268469,0.03443195
0.46937331,1.2744538,0.041939577
0.47017046,1.2808251,0.049335138
0.47097559,1.2875886,0.056570484
0.47181329,1.2947328,0.063610196
0.47266865,1.3021456,0.070448491
0.47355175,1.3098146,0.07709288
0.47443352,1.3176943,0.083551678
0.47533192,1.3258875,0.089763111
0.47621249,1.3342695,0.095833532
0.4770613,1.3429292,0.101637975
0.47788161,1.3517486,0.107251444
0.47864436,1.3607213,0.112642352
0.47956055,1.3697297,0.117737678
0.48038697,1.3788458,0.122684442
0.48111938,1.3880564,0.12738403
0.48175276,1.3973171,0.1319278
0.48227088,1.4066623,0.13623641
0.48265559,1.415981,0.14037414
0.48287075,1.4253334,0.14430994
0.48291599,1.4346013,0.14810561
0.4828278,1.4438156,0.15172892
0.48257509,1.4529903,0.15513219
0.48195546,1.4621251,0.15848271
0.4811324,1.4711101,0.16157799
0.48014847,1.4799474,0.16457757
0.47896804,1.4886086,0.16739162
0.47763983,1.4970546,0.17002616
0.47619567,1.5052932,0.1724769
0.47467901,1.5133123,0.17474235
0.47310186,1.5211436,0.17682186
0.4714557,1.5287499,0.17864895
0.46980137,1.5360456,0.18028506
0.46789836,1.5436579,0.18173767
0.46618196,1.5504717,0.18299821
0.46442236,1.5570036,0.18405596
0.4626768,1.5632858,0.18489891
0.46092574,1.5693372,0.1855972
0.45917846,1.5751059,0.18611888
0.45743898,1.5804986,0.18647378
0.4556899,1.5855398,0.18668027
0.45379287,1.5905308,0.18671871
0.4519321,1.5951253,0.18662247
0.45044131,1.5985374,0.18642057
0.44888228,1.6021018,0.18609958
0.44746074,1.6053718,0.18545604
0.44623643,1.6081362,0.18480363
0.44513614,1.6105413,0.18384936
0.44419692,1.6125315,0.18291819
0.44340934,1.6141899,0.18183226
0.44280594,1.6154737,0.18062279
0.44254664,1.6160696,0.17938246
0.44245438,1.6163566,0.17809319
0.44245198,1.6164489,0.17663499
0.44252437,1.6160869,0.17493688
0.44266562,1.6155037,0.17351999
0.44285603,1.6147668,0.17193674
0.44269579,1.6137866,0.17065355
0.4425954,1.6125869,0.16922457
0.44266616,1.6110938,0.1678812
0.44286198,1.6093363,0.16661255
0.44316278,1.6073807,0.1653565
0.44355009,1.6051941,0.16415241
0.44400496,1.6028369,0.16303079
0.44470811,1.6000194,0.16214846
0.44541126,1.5972019,0.16126613
0.44625427,1.5941148,0.16049441
0.44769531,1.5906787,0.15962615
0.44929956,1.5869996,0.15884971
0.45114555,1.5826206,0.15811733
0.45306134,1.577981,0.15750887
0.45499784,1.5730111,0.15709508
0.4567871,1.5683766,0.15676354
0.45873477,1.5628677,0.15663046
0.46054951,1.557444,0.15666188
0.46236425,1.5520203,0.1566933
0.46411409,1.5463766,0.15684668
0.46603,1.5396644,0.1573016
0.46772285,1.5334147,0.15781049
0.46933508,1.5264567,0.15870255
0.47073968,1.5200714,0.15956132
0.47205237,1.5134144,0.16057929
0.47342257,1.5058245,0.16182985
0.47453596,1.4985556,0.16321927
0.47553794,1.4909529,0.16487125
0.47654338,1.4823239,0.16681285
0.47745145,1.4733123,0.16897272
0.4781857,1.4635412,0.17144912
0.47891995,1.4537701,0.17392552
0.47939262,1.4445159,0.17632984
0.47977325,1.4328017,0.17946165
0.48001702,1.4207477,0.18274843
0.48003975,1.4083288,0.18616614
0.48000346,1.3968286,0.18933299
0.47971986,1.3837966,0.19279237
0.47934454,1.3704934,0.19619857
0.47894247,1.3582161,0.19932029
0.47814991,1.345498,0.20235833
0.47710152,1.3313783,0.20571933
0.47598783,1.3184398,0.2088118
0.47439679,1.3052059,0.21177144
0.4725682,1.2918666,0.21456969
0.47062575,1.2784943,0.21713816
0.46846404,1.2637538,0.21985033
0.46653915,1.251556,0.22196262
0.46445725,1.2393274,0.22397179
0.46171619,1.224479,0.22625767
0.45883564,1.211036,0.22826407
0.45577005,1.1977695,0.23004366
0.45224005,1.1832803,0.23194715
